Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount (in lac),Duration,Purpose,Risk,Income,Childern Count,Income Type,Education Type,Has a phone,Has a email id,Occupation Type
0,67,male,2,own,NA,little,1169,6,radio/TV,good,202500,0,Working,Secondary / secondary special,1,0,Laborers
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad,270000,0,State servant,Higher education,1,0,Core staff
2,49,male,1,own,little,NA,2096,12,education,good,67500,0,Working,Secondary / secondary special,1,0,Laborers
3,45,male,2,free,little,little,7882,42,furniture/equipment,good,135000,0,Working,Secondary / secondary special,0,0,Laborers
4,53,male,2,free,little,little,4870,24,car,bad,121500,0,Working,Secondary / secondary special,0,0,Core staff
5,35,male,1,free,NA,NA,9055,36,education,good,99000,0,State servant,Secondary / secondary special,1,0,Laborers
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,good,171000,1,Commercial associate,Higher education,1,0,Accountants
7,35,male,3,rent,little,moderate,6948,36,car,good,360000,0,State servant,Higher education,0,0,Managers
8,61,male,1,own,rich,NA,3059,12,radio/TV,good,112500,0,Pensioner,Secondary / secondary special,0,0,
9,28,male,3,own,little,moderate,5234,30,car,bad,135000,0,Working,Secondary / secondary special,0,0,Laborers
10,25,female,2,rent,little,moderate,1295,12,car,bad,112500,1,Working,Higher education,0,0,Core staff
11,24,female,2,rent,little,little,4308,48,business,bad,38419.155,0,Pensioner,Secondary / secondary special,1,0,
12,22,female,2,own,little,moderate,1567,12,radio/TV,good,67500,0,Working,Secondary / secondary special,1,0,Laborers
13,60,male,1,own,little,little,1199,24,car,bad,225000,1,Working,Secondary / secondary special,0,0,Drivers
14,28,female,2,rent,little,little,1403,15,car,good,189000,0,Working,Secondary / secondary special,0,0,Laborers
15,32,female,1,own,moderate,little,1282,24,radio/TV,bad,157500,0,Working,Secondary / secondary special,0,0,Laborers
16,53,male,2,own,NA,NA,2424,24,radio/TV,good,108000,0,Working,Secondary / secondary special,0,0,Drivers
17,25,male,2,own,NA,little,8072,30,business,good,81000,1,Working,Secondary / secondary special,0,0,Laborers
18,44,female,3,free,little,moderate,12579,24,car,bad,112500,0,Working,Secondary / secondary special,1,0,Laborers
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,good,90000,1,State servant,Higher education,1,0,Core staff
20,48,male,2,own,little,NA,2134,9,car,good,135000,0,Working,Secondary / secondary special,0,0,Laborers
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good,202500,1,Commercial associate,Secondary / secondary special,0,0,Sales staff
22,48,male,1,rent,little,little,2241,10,car,good,450000,1,Working,Secondary / secondary special,0,0,Sales staff
23,44,male,2,own,moderate,moderate,1804,12,car,good,83250,0,Pensioner,Secondary / secondary special,1,0,
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,good,135000,2,Working,Secondary / secondary special,0,0,Drivers
25,36,male,1,own,little,little,1374,6,furniture/equipment,good,90000,0,Working,Secondary / secondary special,1,0,Cleaning staff
26,39,male,1,own,little,NA,426,6,radio/TV,good,112500,0,Working,Secondary / secondary special,0,0,Cooking staff
27,42,female,2,rent,rich,rich,409,12,radio/TV,good,112500,1,Working,Secondary / secondary special,0,0,Laborers
28,34,male,2,own,little,moderate,2415,7,radio/TV,good,270000,0,State servant,Higher education,0,1,
29,63,male,2,own,little,little,6836,60,business,bad,90000,0,Working,Higher education,0,0,Laborers
30,36,male,2,own,rich,moderate,1913,18,business,good,292500,0,Commercial associate,Secondary / secondary special,0,1,
31,27,male,2,own,little,little,4020,24,furniture/equipment,good,112500,0,Working,Secondary / secondary special,0,0,Private service staff
32,30,male,2,own,moderate,moderate,5866,18,car,good,90000,0,Working,Secondary / secondary special,0,0,Laborers
33,57,male,1,rent,NA,NA,1264,12,business,good,360000,1,Commercial associate,Secondary / secondary special,0,0,Drivers
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good,135000,0,State servant,Higher education,0,0,Core staff
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad,112500,0,Working,Higher education,1,0,Sales staff
36,31,male,2,free,little,NA,6110,48,education,good,198000,2,Commercial associate,Secondary / secondary special,1,0,Private service staff
37,37,male,2,own,little,rich,2100,18,radio/TV,bad,121500,0,Working,Secondary / secondary special,1,0,Drivers
38,37,male,2,own,little,rich,1225,10,domestic appliances,good,99000,0,Pensioner,Secondary / secondary special,1,0,
39,24,male,2,own,little,moderate,458,9,radio/TV,good,180000,0,Working,Higher education,0,0,Managers
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,good,202500,0,Commercial associate,Secondary / secondary special,0,0,Laborers
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,202500,0,Working,Secondary / secondary special,1,0,Laborers
42,44,male,1,own,little,moderate,6204,18,repairs,good,135000,0,Working,Secondary / secondary special,1,0,Sales staff
